depto	hogar	orden	zona	puntaje_sisben_3	llave	CORTE	FEX	PER001	PER002B	PER003	PER004	PER005	PER006	PER007	PER008	PER009	PER010	PER011	PER012	PER013A	PER014A	PER015	PER016
81	1	3	2	19.94	0024	DIC2016	138.86637931	2	3	3	2	0	0	2	2	4	1	2	0	2	4	0	2
81	1	4	2	19.94	0024	DIC2016	138.86637931	2	1	4	2	0	0	2	2	4	2	2	0	1	0	0	2
81	1	1	1	2.83	0025	DIC2016	138.86637931	2	2	1	2	0	0	2	2	4	1	2	0	2	0	0	2
81	1	2	1	2.83	0025	DIC2016	138.86637931	2	1	3	2	0	0	2	2	0	2	2	0	1	0	0	2
81	1	3	1	2.83	0025	DIC2016	138.86637931	2	4	3	2	0	0	2	2	0	1	2	0	1	0	0	2
81	1	1	1	22.76	0026	DIC2016	138.86637931	1	4	1	1	2	0	2	2	4	2	2	0	1	1	0	1
81	1	2	1	22.76	0026	DIC2016	138.86637931	2	4	2	1	1	0	2	2	4	1	2	0	1	1	0	1
81	2	1	1	22.93	0026	DIC2016	138.86637931	2	3	1	1	0	0	2	2	4	1	2	0	2	4	0	2
81	2	2	1	22.93	0026	DIC2016	138.86637931	1	1	3	2	0	0	2	2	0	2	2	0	1	0	0	2
81	3	1	1	28.2	0026	DIC2016	138.86637931	1	3	1	2	0	0	2	2	4	2	2	0	1	1	0	1
81	1	1	1	56.24	0027	DIC2016	138.86637931	2	3	1	2	0	0	2	2	4	2	2	0	2	1	0	1
81	1	1	1	18.49	0028	DIC2016	138.86637931	2	4	1	1	0	0	2	2	4	1	2	0	1	4	0	2
81	1	1	1	9.11	0029	DIC2016	138.86637931	2	3	1	1	2	0	2	2	4	1	2	0	2	4	0	2
81	1	2	1	9.11	0029	DIC2016	138.86637931	1	3	2	1	1	0	2	2	4	2	2	0	1	1	0	1
81	1	3	1	9.11	0029	DIC2016	138.86637931	1	1	3	2	0	0	2	2	4	2	2	0	1	0	0	2
81	1	4	1	9.11	0029	DIC2016	138.86637931	2	1	3	2	0	0	2	2	4	2	2	0	1	0	0	2
81	1	5	1	9.11	0029	DIC2016	138.86637931	2	1	3	2	0	0	2	2	4	2	2	0	1	0	0	2
81	1	6	1	9.11	0029	DIC2016	138.86637931	2	1	3	2	0	0	2	2	4	2	2	0	1	0	0	2
81	1	7	1	9.11	0029	DIC2016	138.86637931	2	1	3	2	0	0	2	2	0	2	2	0	1	0	0	2
81	1	1	2	23.68	0030	DIC2016	138.86637931	2	4	1	2	0	0	2	2	0	1	2	0	1	0	0	1
81	1	1	1	13.81	0031	DIC2016	138.86637931	2	4	1	1	2	0	2	2	4	1	2	0	2	4	0	2
81	1	2	1	13.81	0031	DIC2016	138.86637931	1	4	2	1	1	0	2	2	4	2	2	0	2	1	0	1
81	1	3	1	13.81	0031	DIC2016	138.86637931	1	1	3	2	0	0	2	2	4	2	1	4	1	3	0	2
81	1	4	1	13.81	0031	DIC2016	138.86637931	1	1	3	2	0	0	2	2	4	2	2	0	1	0	0	2
81	1	1	2	43.86	0032	DIC2016	138.86637931	2	4	1	1	2	0	2	2	4	1	2	0	1	4	0	2
81	1	2	2	43.86	0032	DIC2016	138.86637931	1	4	2	1	1	0	2	2	4	2	2	0	1	1	0	1
81	1	3	2	43.86	0032	DIC2016	138.86637931	1	3	3	2	0	0	2	2	4	2	2	0	1	4	0	2
81	1	1	2	44.17	0033	DIC2016	138.86637931	1	3	1	1	0	0	2	2	4	2	2	0	1	1	0	1
81	1	1	2	26.09	0034	DIC2016	138.86637931	2	2	1	2	0	0	2	2	0	2	2	0	2	4	0	2
81	1	1	1	56.4	0035	DIC2016	138.86637931	2	4	1	2	0	0	2	2	1	1	2	0	2	1	0	1
81	1	2	1	56.4	0035	DIC2016	138.86637931	2	3	3	2	0	0	2	2	3	2	2	0	1	1	0	1
81	1	1	2	16.39	0036	DIC2016	138.86637931	1	2	1	2	0	0	2	2	4	2	2	0	2	1	0	1
81	1	1	2	9.51	0037	DIC2016	138.86637931	2	4	1	2	0	0	2	2	0	1	2	0	1	0	0	2
81	1	1	2	12.78	0038	DIC2016	138.86637931	2	3	1	2	0	0	1	2	0	1	2	0	1	1	0	1
81	1	2	2	12.78	0038	DIC2016	138.86637931	1	2	3	2	0	0	2	2	0	2	1	4	2	3	0	2
81	1	3	2	12.78	0038	DIC2016	138.86637931	2	2	3	2	0	0	2	2	0	2	1	4	2	3	0	2
81	1	4	2	12.78	0038	DIC2016	138.86637931	2	2	3	2	0	0	2	2	0	2	1	4	2	3	0	2
81	1	1	2	13.84	0039	DIC2016	138.86637931	1	3	1	1	2	0	2	2	4	2	2	0	1	1	0	1
81	1	2	2	13.84	0039	DIC2016	138.86637931	2	3	2	1	1	0	2	2	4	1	2	0	1	4	0	2
81	1	3	2	13.84	0039	DIC2016	138.86637931	1	2	3	2	0	0	2	2	4	2	1	4	2	3	0	2
81	1	4	2	13.84	0039	DIC2016	138.86637931	2	1	3	2	0	0	2	2	4	2	1	4	1	3	0	2
81	1	5	2	13.84	0039	DIC2016	138.86637931	1	1	3	2	0	0	2	2	0	2	1	4	1	3	0	2
81	1	6	2	13.84	0039	DIC2016	138.86637931	1	4	15	2	0	0	2	2	0	2	2	0	1	2	1	2
81	1	1	2	8.17	0040	DIC2016	138.86637931	2	2	1	2	0	0	2	2	4	1	2	0	2	1	0	1
81	1	2	2	8.17	0040	DIC2016	138.86637931	2	1	3	2	0	0	2	2	4	2	2	0	1	0	0	2
81	1	3	2	8.17	0040	DIC2016	138.86637931	2	1	3	2	0	0	2	2	0	2	2	0	1	0	0	2
81	1	4	2	8.17	0040	DIC2016	138.86637931	1	1	3	2	0	0	2	2	0	2	2	0	1	0	0	2
81	1	1	1	24.49	0041	DIC2016	138.86637931	1	3	1	2	0	0	2	2	0	2	2	0	2	1	0	1
81	1	1	1	53.67	0042	DIC2016	138.86637931	2	4	1	1	2	0	2	2	4	1	2	0	2	1	0	1
81	1	2	1	53.67	0042	DIC2016	138.86637931	1	4	2	1	1	0	2	2	4	2	2	0	1	1	0	1
81	1	3	1	53.67	0042	DIC2016	138.86637931	2	2	3	2	0	0	2	2	4	2	1	4	2	3	0	2
81	1	1	1	33.3	0043	DIC2016	138.86637931	2	3	1	2	0	0	2	2	4	1	2	0	2	0	0	1
81	1	2	1	33.3	0043	DIC2016	138.86637931	1	3	6	2	0	0	2	2	4	2	2	0	2	0	0	2
81	1	3	1	33.3	0043	DIC2016	138.86637931	2	1	3	2	0	0	2	2	4	2	2	0	1	0	0	2
81	1	1	1	17.82	0044	DIC2016	138.86637931	2	4	1	1	2	0	2	2	4	1	2	0	1	1	0	1
81	1	2	1	17.82	0044	DIC2016	138.86637931	1	4	2	1	1	0	2	2	4	2	2	0	1	2	10	2
81	1	3	1	17.82	0044	DIC2016	138.86637931	2	3	3	2	0	0	2	2	4	2	2	0	2	0	0	2
81	1	4	1	17.82	0044	DIC2016	138.86637931	2	2	3	2	0	0	2	2	4	2	1	4	2	3	0	2
81	1	1	1	15.94	0045	DIC2016	138.86637931	2	3	1	2	0	0	2	2	4	1	2	0	2	1	0	1
81	1	2	1	15.94	0045	DIC2016	138.86637931	1	1	3	2	0	0	2	2	4	2	2	0	1	0	0	2
81	1	3	1	15.94	0045	DIC2016	138.86637931	1	1	3	2	0	0	2	2	4	2	2	0	1	0	0	2
